pa_id,pred_improved_traffic,lng,lat
109.0,343468.42018428573,100.66833945454546,13.676752
110.0,13169.378905645535,100.7051563333333,13.645418999999999
111.0,41700.03735746413,100.6951915,13.645374916666668
112.0,708.2226965689039,100.69275158333335,13.548245916666668
113.0,400510.8422867025,100.5528932,13.738850000000003
114.0,-2655.233670196309,100.5673132,13.7307062
116.0,36738.26633558163,100.7703795,13.613592785714285
117.0,27430.676256749208,100.62400257142858,13.701978142857143
118.0,16432.73747226202,100.36618166666668,13.73555577777778
121.0,15093.449187457989,100.4405087,13.702779999999999
124.0,6418.6414210400635,100.46282010526316,13.710389947368421
125.0,17761.421200031404,100.5087785,13.744178166666666
126.0,92306.30759366156,100.51445842105262,13.755153578947368
128.0,112899.00213407482,100.3896017777778,13.671036555555554
131.0,14645.483972978745,100.51148105882352,13.601228117647059
132.0,1849.9321208856632,100.4121088888889,13.697586333333334
133.0,321350.36933829583,100.40263014285713,13.67768657142857
134.0,691763.5060036493,100.4102915,13.681491499999998
135.0,57478.87069039553,100.42473266666667,13.643926333333333
136.0,17721.41167791273,100.4109802,13.691708199999999
138.0,1926.925508529731,100.41607499999999,13.6910834
139.0,7359.734882092736,100.4987118,13.748615800000001
140.0,164836.04141258364,100.46291429411762,13.70542811764706
141.0,742036.26845305,100.47106638461538,13.701957153846154
142.0,109993.41246230576,100.4243973125,13.5885115
143.0,2062.8034986978996,100.44333542857142,13.643015142857143
148.0,79872.35082030504,100.51474945454544,13.613821454545452
150.0,99190.07872322282,100.38881441666668,13.717350833333333
154.0,169771.65421223102,100.4512896,13.639993800000003
155.0,938.0276357586736,100.38272053333331,13.702753666666666
157.0,15000.247443164772,100.466120875,13.775317124999999
161.0,38115.10852696281,100.46019319999999,13.858788039999997
162.0,811412.9200429347,100.50452096296294,13.828873370370369
163.0,5832.834385147109,100.4834072,13.777170100000001
164.0,48191.691347005086,100.51586166666665,13.772772416666667
165.0,514533.6126070209,100.46165016666667,13.895102683333329
168.0,2695.8979700034233,100.43591546428571,13.907889857142859
169.0,278918.25211852684,100.43604979999999,13.855372015384612
171.0,23511.115269386,100.5294480576923,13.839838942307695
173.0,4537.697904113129,100.50355950000001,13.896549949999999
174.0,470901.718016016,100.46477866666667,13.877998583333332
175.0,1511.579868975965,100.42171440909091,13.839593636363638
179.0,23933.67615953192,100.35232688235294,13.916965470588234
183.0,16620.09588505366,100.34820649999999,13.917500250000002
184.0,22179.472073034027,100.36039427272726,13.900775363636365
185.0,21087.657748148747,100.37407946153849,13.869480461538462
186.0,60048.32127537097,100.5553703,13.9643639
188.0,123952.39019581104,100.41772310000002,13.9292674
189.0,98815.23952740704,100.513980625,14.003547125000004
190.0,198455.83798678042,100.5644623125,14.022607062499999
192.0,7279.51697297199,100.38760785714285,13.840104
